REF_AREA,Reference area,MEASURE,Medical technology,TIME_PERIOD,OBS_VALUE
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1998,4.51
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1997,3.53
AUS,Australia,MTU,Radiation therapy equipment,1994,3.99
AUS,Australia,MTU,Radiation therapy equipment,1992,3.43
AUS,Australia,MTU,Radiation therapy equipment,1990,2.93
AUS,Australia,MTU,Radiation therapy equipment,1988,2.72
AUS,Australia,MTU,Radiation therapy equipment,1986,2.68
AUS,Australia,MTU,Radiation therapy equipment,1985,2.53
AUS,Australia,MTU,Radiation therapy equipment,2012,9.72
AUS,Australia,MTU,Radiation therapy equipment,2011,9.18
AUS,Australia,MTU,Radiation therapy equipment,2010,9.3
AUS,Australia,MTU,Radiation therapy equipment,2009,8.9
AUS,Australia,MTU,Radiation therapy equipment,2008,7.91
AUS,Australia,MTU,Radiation therapy equipment,2006,6.21
AUS,Australia,MTU,Radiation therapy equipment,2005,6.1
AUS,Australia,MTU,Radiation therapy equipment,2002,5.49
AUS,Australia,MTU,Radiation therapy equipment,2001,5.14
AUS,Australia,MTU,Radiation therapy equipment,2000,5.2
AUS,Australia,MTU,Radiation therapy equipment,1999,5.05
AUS,Australia,MTU,Radiation therapy equipment,1997,4.94
AUS,Australia,MTU,Radiation therapy equipment,1996,4.77
AUS,Australia,MTU,Radiation therapy equipment,1995,4.39
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2008,0.71
AUS,Australia,MTU,Mammographs,2023,19.49
AUS,Australia,MTU,Mammographs,2022,21.36
AUS,Australia,MTU,Mammographs,2021,21.61
AUS,Australia,MTU,Mammographs,2020,21.09
AUS,Australia,MTU,Mammographs,2019,23.28
AUS,Australia,MTU,Mammographs,2018,23.75
AUS,Australia,MTU,Mammographs,2017,23.22
AUS,Australia,MTU,Mammographs,2016,23.23
AUS,Australia,MTU,Mammographs,2015,22.97
AUS,Australia,MTU,Mammographs,2014,23
AUS,Australia,MTU,Mammographs,2013,22.53
AUS,Australia,MTU,Mammographs,2012,22.74
AUS,Australia,MTU,Mammographs,2011,23.28
AUS,Australia,MTU,Mammographs,2010,24.19
AUS,Australia,MTU,Mammographs,2009,24.62
AUS,Australia,MTU,Mammographs,2008,23.53
AUS,Australia,MTU,Mammographs,2007,24.39
AUS,Australia,MTU,Mammographs,2006,24.74
AUS,Australia,MTU,Mammographs,2005,25.33
AUS,Australia,MTU,Radiation therapy equipment,2023,11.86
AUS,Australia,MTU,Radiation therapy equipment,2022,12.39
AUS,Australia,MTU,Radiation therapy equipment,2021,12.65
AUS,Australia,MTU,Radiation therapy equipment,2020,11.58
AUS,Australia,MTU,Radiation therapy equipment,2019,11.48
AUS,Australia,MTU,Radiation therapy equipment,2018,10.61
AUS,Australia,MTU,Radiation therapy equipment,2017,10.41
AUS,Australia,MTU,Radiation therapy equipment,2016,10.71
AUS,Australia,MTU,Radiation therapy equipment,2015,10.83
AUS,Australia,MTU,Radiation therapy equipment,2014,10.56
AUS,Australia,MTU,Radiation therapy equipment,2013,10.12
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1996,2.96
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1995,2.89
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1994,2.36
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1993,1.81
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1992,1.43
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1991,1.16
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1990,0.64
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1989,0.42
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1988,0.42
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1987,0.31
AUS,Australia,MTU,Magnetic resonance imaging (MRI) units,1986,0.19
AUS,Australia,MTU,Computed tomography (CT) scanners,2023,70.54
AUS,Australia,MTU,Computed tomography (CT) scanners,2022,72.37
AUS,Australia,MTU,Computed tomography (CT) scanners,2021,71.59
AUS,Australia,MTU,Computed tomography (CT) scanners,2020,67.78
AUS,Australia,MTU,Computed tomography (CT) scanners,2019,69.81
AUS,Australia,MTU,Computed tomography (CT) scanners,2018,67.33
AUS,Australia,MTU,Computed tomography (CT) scanners,2017,64.37
AUS,Australia,MTU,Computed tomography (CT) scanners,2016,63
AUS,Australia,MTU,Computed tomography (CT) scanners,2015,59.54
AUS,Australia,MTU,Computed tomography (CT) scanners,2014,56.06
AUS,Australia,MTU,Computed tomography (CT) scanners,2013,53.66
AUS,Australia,MTU,Computed tomography (CT) scanners,2012,50.5
AUS,Australia,MTU,Computed tomography (CT) scanners,2011,44.32
AUS,Australia,MTU,Computed tomography (CT) scanners,2010,43.07
AUS,Australia,MTU,Computed tomography (CT) scanners,2009,39.14
AUS,Australia,MTU,Computed tomography (CT) scanners,2006,56.72
AUS,Australia,MTU,Computed tomography (CT) scanners,2005,51.54
AUS,Australia,MTU,Computed tomography (CT) scanners,2004,45.65
AUS,Australia,MTU,Computed tomography (CT) scanners,2003,40.57
AUS,Australia,MTU,Computed tomography (CT) scanners,2002,34.37
AUS,Australia,MTU,Computed tomography (CT) scanners,2001,29.05
AUS,Australia,MTU,Computed tomography (CT) scanners,2000,26.28
AUS,Australia,MTU,Computed tomography (CT) scanners,1999,25.52
AUS,Australia,MTU,Computed tomography (CT) scanners,1998,24.18
AUS,Australia,MTU,Computed tomography (CT) scanners,1997,23.34
AUS,Australia,MTU,Computed tomography (CT) scanners,1996,21.95
AUS,Australia,MTU,Computed tomography (CT) scanners,1995,20.55
AUS,Australia,MTU,Computed tomography (CT) scanners,1994,18.48
AUS,Australia,MTU,Computed tomography (CT) scanners,1992,16.71
AUS,Australia,MTU,Computed tomography (CT) scanners,1990,13.77
AUS,Australia,MTU,Computed tomography (CT) scanners,1987,10.45
AUS,Australia,MTU,Computed tomography (CT) scanners,1986,9.43
AUS,Australia,MTU,Computed tomography (CT) scanners,1985,8.17
AUS,Australia,MTU,Computed tomography (CT) scanners,1984,5.58
AUS,Australia,MTU,Computed tomography (CT) scanners,1983,4.09
AUS,Australia,MTU,Computed tomography (CT) scanners,1982,2.37
AUS,Australia,MTU,Computed tomography (CT) scanners,1981,1.01
AUS,Australia,MTU,Computed tomography (CT) scanners,1980,0.75
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2023,4.09
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2022,4.16
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2021,3.89
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2020,3.86
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2019,3.75
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2018,3.85
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2017,3.29
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2016,3.06
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2015,2.65
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2014,2.39
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2013,2.03
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2012,1.85
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2011,1.43
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2010,1.41
AUS,Australia,MTU,Positron emission tomography (PET) scanners,2009,1.11
AUS,Australia,MTU,Gamma cameras,2023,15.29
AUS,Australia,MTU,Gamma cameras,2022,16.63
AUS,Australia,MTU,Gamma cameras,2021,16.7
AUS,Australia,MTU,Gamma cameras,2020,17.23
AUS,Australia,MTU,Gamma cameras,2019,18.63
AUS,Australia,MTU,Gamma cameras,2018,18.82
AUS,Australia,MTU,Gamma cameras,2017,18.87
