REF_AREA,Reference area,MEASURE,Measure,TIME_PERIOD,OBS_VALUE
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2017,77.2
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2016,81.2
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2015,83.4
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2014,89.5
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2013,95.2
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2012,101.8
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2011,102.5
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2010,99.8
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2009,97.4
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2021,32.6
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2020,34.1
MEX,Mexico,ADMRHYPT,Hypertension hospital admission,2019,58.6
ROU,Romania,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2014,17.1
ROU,Romania,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2021,18.6
ROU,Romania,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2020,17.1
ROU,Romania,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2019,21.7
ROU,Romania,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2018,21.4
ROU,Romania,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2017,20.9
ROU,Romania,ADMRDBLE,Lower extremity amputation in diabetic patients using unlinked data,2016,19.4
EST,Estonia,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2014,490.5
EST,Estonia,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2021,264.8
EST,Estonia,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2020,328.4
EST,Estonia,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2019,360.7
EST,Estonia,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2018,364.2
EST,Estonia,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2017,378.6
EST,Estonia,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2016,422.1
MLT,Malta,ADMRHYPT,Hypertension hospital admission,2016,39.3
MLT,Malta,ADMRHYPT,Hypertension hospital admission,2015,41.6
MLT,Malta,ADMRHYPT,Hypertension hospital admission,2014,33.9
MLT,Malta,ADMRHYPT,Hypertension hospital admission,2020,28.8
MLT,Malta,ADMRHYPT,Hypertension hospital admission,2019,40.9
MLT,Malta,ADMRHYPT,Hypertension hospital admission,2018,33.6
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2006,411.7
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2005,433.7
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2004,452.2
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2003,363.1
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2002,380.4
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2021,119.5
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2020,118.7
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2019,161.3
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2018,169.7
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2017,179.4
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2016,195.8
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2015,203.9
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2014,216.4
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2013,230.5
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2012,244.5
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2011,273.7
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2010,295.1
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2009,307.2
AUT,Austria,ADMRDBUC,Diabetes hospital admission,2008,369.4
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2017,821.9
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2016,809.3
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2015,818.7
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2014,873
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2013,798.9
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2012,891
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2011,838.9
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2010,867.3
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2009,865.9
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2021,465.9
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2020,581
SVK,Slovak Republic,CHHYCOMP,Congestive heart failure and hypertension hospital admission,2019,751.6
TUR,Türkiye,ADMRASTH,Asthma hospital admission,2016,96.7
TUR,Türkiye,ADMRASTH,Asthma hospital admission,2015,99.6
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2015,270.7
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2014,273
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2013,281.1
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2012,289
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2011,321.4
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2010,286.9
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2009,283.6
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2008,307.7
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2007,302.8
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2021,184
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2020,172.7
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2019,196.1
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2018,230
SGP,Singapore,ADMRCHFL,Congestive heart failure hospital admission,2017,234.3
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2006,53.6
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2022,24.4
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2021,29.8
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2005,41.3
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2004,59.1
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2003,73.5
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2002,63.9
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2001,68.8
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2000,92.2
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2020,37.4
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2019,36
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2018,38.3
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2017,43.8
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2016,44.2
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2015,45.5
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2014,34.9
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2013,35.2
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2012,33.4
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2011,33.1
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2010,35
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2009,51.6
ISL,Iceland,ADMRDBUC,Diabetes hospital admission,2008,53.4
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2016,249.6
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2015,248.1
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2014,247.9
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2013,252.4
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2012,249.6
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2011,243.5
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2010,235.9
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2009,237.2
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2008,240.7
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2021,193.4
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2020,187.9
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2019,237.6
NOR,Norway,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2018,232.3
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2016,205.9
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2015,222.3
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2014,219.3
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2013,214.3
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2012,245
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2011,220.3
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2010,230.3
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2009,248.2
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2008,265.8
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2021,68.3
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2020,94.1
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2019,161.5
KOR,Korea,ADMRCOPD,Chronic obstructive pulmonary disease hospital admission,2018,193.2
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2008,160.6
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2007,172.7
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2006,177.5
CRI,Costa Rica,ADMRDBUC,Diabetes hospital admission,2005,189.9
