,Year,Population,
United States,-10000,233969,
United States,-9000,259965,
United States,-8000,288850,
United States,-7000,320945,
United States,-6000,356605,
United States,-5000,396228,
United States,-4000,440253,
United States,-3000,489171,
United States,-2000,543523,
United States,-1000,603915,
United States,0,671017,
United States,100,702970,
United States,200,736446,
United States,300,771516,
United States,400,808259,
United States,500,846754,
United States,600,887090,
United States,700,929359,
United States,800,973670,
United States,900,1095480,
United States,1000,1217406,
United States,1100,1311479,
United States,1200,1452821,
United States,1300,1571686,
United States,1400,1739207,
United States,1500,1887028,
United States,1600,778503,
United States,1700,927076,
United States,1710,1372796,
United States,1720,1818515,
United States,1730,2264235,
United States,1740,2709955,
United States,1750,3155674,
United States,1760,3601394,
United States,1770,4047113,
United States,1780,4492833,
United States,1790,4938552,
United States,1800,6000000,
United States,1801,6113782,
United States,1802,6229723,
United States,1803,6347862,
United States,1804,6468241,
United States,1805,6590903,
United States,1806,6715891,
United States,1807,6843249,
United States,1808,6973023,
United States,1809,7105258,
United States,1810,7302908,
United States,1811,7502686,
United States,1812,7728031,
United States,1813,7980135,
United States,1814,8240464,
United States,1815,8509285,
United States,1816,8786876,
United States,1817,9073523,
United States,1818,9369520,
United States,1819,9667277,
United States,1820,9966626,
United States,1821,10267384,
United States,1822,10569360,
United States,1823,10872345,
United States,1824,11184015,
United States,1825,11504621,
United States,1826,11834416,
United States,1827,12173666,
United States,1828,12522641,
United States,1829,12879737,
United States,1830,13245133,
United States,1831,13619015,
United States,1832,14001568,
United States,1833,14392986,
United States,1834,14795346,
United States,1835,15208954,
United States,1836,15634125,
United States,1837,16071181,
United States,1838,16520455,
United States,1839,16991513,
United States,1840,17485246,
United States,1841,18002579,
United States,1842,18544472,
United States,1843,19111919,
United States,1844,19696730,
United States,1845,20299435,
United States,1846,20920583,
United States,1847,21560737,
United States,1848,22220480,
United States,1849,22899875,
United States,1850,23599506,
United States,1851,24309683,
United States,1852,25040692,
United States,1853,25793143,
United States,1854,26568199,
United States,1855,27366540,
United States,1856,28188865,
United States,1857,29035895,
United States,1858,29908371,
United States,1859,30763983,
United States,1860,31601240,
United States,1861,32418583,
United States,1862,33214384,
United States,1863,33986941,
United States,1864,34777462,
United States,1865,35586364,
United States,1866,36414073,
United States,1867,37261027,
United States,1868,38127674,
United States,1869,39007998,
United States,1870,39902173,
United States,1871,40810375,
United States,1872,41732783,
United States,1873,42669573,
United States,1874,43627383,
United States,1875,44606685,
United States,1876,45607961,
United States,1877,46631704,
United States,1878,47678418,
United States,1879,48749140,
United States,1880,49844419,
United States,1881,50964818,
United States,1882,52110912,
United States,1883,53283291,
United States,1884,54482036,
United States,1885,55707739,
United States,1886,56961007,
United States,1887,58242459,
United States,1888,59552729,
United States,1889,60843105,
United States,1890,62112247,
United States,1891,63358765,
United States,1892,64581224,
United States,1893,65778137,
United States,1894,66997221,
United States,1895,68238885,
United States,1896,69503549,
United States,1897,70791637,
United States,1898,72103583,
United States,1899,73449404,
United States,1900,74829905,
United States,1901,76245912,
United States,1902,77698268,
United States,1903,79187838,
United States,1904,80705948,
United States,1905,82253148,
United States,1906,83829992,
United States,1907,85437050,
United States,1908,87074899,
United States,1909,88647362,
United States,1910,90151889,
United States,1911,91585865,
United States,1912,92946603,
United States,1913,94231351,
United States,1914,95533839,
United States,1915,96854312,
United States,1916,98193018,
United States,1917,99550208,
United States,1918,100970120,
United States,1919,102419259,
United States,1920,103898175,
United States,1921,105407425,
United States,1922,106947578,
United States,1923,108519213,
United States,1924,110113945,
United States,1925,111732111,
United States,1926,113374057,
United States,1927,115040131,
United States,1928,116730690,
United States,1929,118261782,
United States,1930,119629770,
United States,1931,120830953,
United States,1932,121861566,
United States,1933,122717780,
United States,1934,123580010,
United States,1935,124448298,
United States,1936,125322686,
United States,1937,126203219,
United States,1938,127089938,
United States,1939,128160070,
United States,1940,129417367,
United States,1941,130865641,
United States,1942,132508765,
United States,1943,134350677,
